type	x	y
3	0	0
2	20	0
2	40	0
1	60	0
3	80	0
3	100	0
1	120	0
3	140	0
3	160	0
2	180	0
3	200	0
2	220	0
3	240	0
2	260	0
3	280	0
2	300	0
2	320	0
1	340	0
2	360	0
3	380	0
1	400	0
1	420	0
2	440	0
1	460	0
3	480	0
1	500	0
1	520	0
1	540	0
2	560	0
2	580	0
2	600	0
1	620	0
1	640	0
1	660	0
1	680	0
2	700	0
1	720	0
2	0	60
3	20	60
2	40	60
3	60	60
3	80	60
1	100	60
3	120	60
1	140	60
3	160	60
2	180	60
1	200	60
3	220	60
1	240	60
2	260	60
3	280	60
1	300	60
3	320	60
1	340	60
2	360	60
2	380	60
2	400	60
2	420	60
2	440	60
3	460	60
3	480	60
1	500	60
3	520	60
2	540	60
2	560	60
1	580	60
3	600	60
1	620	60
1	640	60
1	660	60
1	680	60
2	700	60
1	720	60
1	0	120
1	20	120
2	40	120
1	60	120
3	80	120
1	100	120
1	120	120
1	140	120
2	160	120
2	180	120
2	200	120
1	220	120
1	240	120
3	260	120
3	280	120
1	300	120
2	320	120
1	340	120
2	360	120
1	380	120
2	400	120
3	420	120
3	440	120
1	460	120
1	480	120
1	500	120
1	520	120
3	540	120
3	560	120
3	580	120
1	600	120
2	620	120
2	640	120
1	660	120
3	680	120
3	700	120
1	720	120
2	0	180
2	20	180
2	40	180
3	60	180
3	80	180
3	100	180
2	120	180
1	140	180
3	160	180
1	180	180
2	200	180
3	220	180
1	240	180
1	260	180
1	280	180
2	300	180
3	320	180
3	340	180
2	360	180
2	380	180
2	400	180
1	420	180
1	440	180
3	460	180
2	480	180
1	500	180
2	520	180
3	540	180
1	560	180
2	580	180
1	600	180
2	620	180
1	640	180
1	660	180
2	680	180
3	700	180
3	720	180
1	0	240
2	20	240
1	40	240
1	60	240
2	80	240
3	100	240
2	120	240
1	140	240
3	160	240
1	180	240
3	200	240
2	220	240
3	240	240
3	260	240
3	280	240
3	300	240
3	320	240
3	340	240
1	360	240
3	380	240
1	400	240
2	420	240
1	440	240
2	460	240
1	480	240
1	500	240
2	520	240
3	540	240
1	560	240
1	580	240
3	600	240
3	620	240
2	640	240
1	660	240
2	680	240
1	700	240
1	720	240
1	0	300
2	20	300
1	40	300
1	60	300
3	80	300
3	100	300
1	120	300
2	140	300
1	160	300
1	180	300
3	200	300
3	220	300
2	240	300
2	260	300
2	280	300
2	300	300
1	320	300
3	340	300
2	360	300
2	380	300
1	400	300
2	420	300
3	440	300
1	460	300
2	480	300
3	500	300
1	520	300
1	540	300
2	560	300
1	580	300
3	600	300
1	620	300
2	640	300
3	660	300
3	680	300
3	700	300
3	720	300
1	0	360
2	20	360
1	40	360
2	60	360
1	80	360
2	100	360
2	120	360
2	140	360
1	160	360
3	180	360
3	200	360
3	220	360
1	240	360
2	260	360
2	280	360
1	300	360
1	320	360
1	340	360
3	360	360
3	380	360
2	400	360
2	420	360
1	440	360
3	460	360
3	480	360
2	500	360
3	520	360
2	540	360
1	560	360
1	580	360
2	600	360
3	620	360
3	640	360
1	660	360
3	680	360
3	700	360
2	720	360
2	0	420
1	20	420
3	40	420
1	60	420
1	80	420
2	100	420
2	120	420
2	140	420
2	160	420
3	180	420
1	200	420
2	220	420
3	240	420
1	260	420
1	280	420
3	300	420
2	320	420
2	340	420
1	360	420
1	380	420
3	400	420
3	420	420
2	440	420
2	460	420
1	480	420
3	500	420
3	520	420
2	540	420
1	560	420
2	580	420
2	600	420
2	620	420
3	640	420
1	660	420
3	680	420
3	700	420
3	720	420
3	0	480
1	20	480
2	40	480
1	60	480
2	80	480
3	100	480
1	120	480
3	140	480
3	160	480
3	180	480
2	200	480
3	220	480
3	240	480
3	260	480
2	280	480
3	300	480
2	320	480
3	340	480
3	360	480
1	380	480
3	400	480
2	420	480
3	440	480
2	460	480
3	480	480
1	500	480
3	520	480
3	540	480
1	560	480
1	580	480
3	600	480
3	620	480
1	640	480
1	660	480
2	680	480
3	700	480
1	720	480
